timestamp,gpu_util,memory_used_mb,memory_total_mb,temp_c,power_w
1761482407,0, 116991, 143771, 27, 115.40
1761482408,0, 116991, 143771, 27, 115.42
1761482409,0, 116991, 143771, 27, 115.39
1761482410,0, 116991, 143771, 27, 115.37
1761482411,0, 116991, 143771, 27, 115.37
1761482412,0, 116991, 143771, 27, 115.37
1761482414,0, 116991, 143771, 27, 115.39
1761482415,0, 116991, 143771, 27, 115.42
1761482416,0, 116991, 143771, 27, 115.38
1761482417,0, 116991, 143771, 27, 115.37
1761482418,0, 116991, 143771, 27, 115.40
1761482419,0, 116991, 143771, 27, 115.40
1761482420,0, 116991, 143771, 27, 115.39
1761482421,0, 116991, 143771, 27, 115.40
1761482422,0, 116991, 143771, 27, 115.39
1761482423,0, 116991, 143771, 27, 115.39
1761482425,0, 116991, 143771, 27, 115.37
1761482426,0, 116991, 143771, 27, 115.40
1761482427,0, 116991, 143771, 27, 115.41
1761482428,0, 116991, 143771, 27, 115.39
1761482429,0, 116991, 143771, 27, 115.40
1761482430,0, 116991, 143771, 27, 115.42
1761482431,0, 116991, 143771, 27, 115.38
1761482432,0, 116991, 143771, 27, 115.38
1761482433,0, 116991, 143771, 27, 115.40
1761482434,0, 116991, 143771, 27, 115.42
1761482436,0, 116991, 143771, 27, 115.38
1761482437,0, 116991, 143771, 27, 115.42
